nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_4_54,NT,SocialBehavioralAutism_5_160,SB,0.5566
NeurotypicalCognition_5_84,NT,SocialBehavioralAutism_5_204,SB,0.9808
NeurotypicalCognition_5_102,NT,SocialBehavioralAutism_2_10,SB,0.696
NeurotypicalCognition_6_204,NT,SocialBehavioralAutism_3_45,SB,0.9893
NeurotypicalCognition_6_243,NT,SocialBehavioralAutism_5_202,SB,0.7569
NeurotypicalCognition_2_9,NT,MixedASDwithDelay_3_33,MX,0.9686
NeurotypicalCognition_4_55,NT,MixedASDwithDelay_5_90,MX,0.9844
NeurotypicalCognition_4_62,NT,MixedASDwithDelay_5_90,MX,0.9512
NeurotypicalCognition_4_64,NT,MixedASDwithDelay_0_0,MX,0.5612
NeurotypicalCognition_5_80,NT,MixedASDwithDelay_5_90,MX,0.6438
NeurotypicalCognition_5_113,NT,MixedASDwithDelay_9_258,MX,0.9436
NeurotypicalCognition_6_188,NT,MixedASDwithDelay_9_298,MX,0.6952
NeurotypicalCognition_6_200,NT,MixedASDwithDelay_9_298,MX,0.9771
NeurotypicalCognition_6_212,NT,MixedASDwithDelay_6_114,MX,0.833
NeurotypicalCognition_6_237,NT,MixedASDwithDelay_2_13,MX,0.9004
NeurotypicalCognition_1_4,NT,ModerateAutism_5_94,MO,0.8937
NeurotypicalCognition_3_23,NT,ModerateAutism_4_67,MO,0.9586
NeurotypicalCognition_3_26,NT,ModerateAutism_8_331,MO,0.9464
NeurotypicalCognition_3_27,NT,ModerateAutism_4_67,MO,0.9453
NeurotypicalCognition_4_39,NT,ModerateAutism_5_103,MO,0.9813
NeurotypicalCognition_4_49,NT,ModerateAutism_7_249,MO,0.965
NeurotypicalCognition_4_49,NT,ModerateAutism_8_272,MO,0.9831
NeurotypicalCognition_4_49,NT,ModerateAutism_8_320,MO,0.9855
NeurotypicalCognition_4_54,NT,ModerateAutism_3_20,MO,0.7648
NeurotypicalCognition_5_91,NT,ModerateAutism_8_272,MO,0.9855
NeurotypicalCognition_5_91,NT,ModerateAutism_8_320,MO,0.9719
NeurotypicalCognition_5_91,NT,ModerateAutism_8_331,MO,0.949
NeurotypicalCognition_6_153,NT,ModerateAutism_5_103,MO,0.6088
NeurotypicalCognition_6_154,NT,ModerateAutism_8_333,MO,0.8977
NeurotypicalCognition_6_178,NT,ModerateAutism_5_88,MO,0.6106
NeurotypicalCognition_6_181,NT,ModerateAutism_5_73,MO,0.9828
NeurotypicalCognition_6_188,NT,ModerateAutism_5_103,MO,0.9903
NeurotypicalCognition_6_204,NT,ModerateAutism_5_136,MO,0.9861
NeurotypicalCognition_7_256,NT,ModerateAutism_5_103,MO,0.9803
NeurotypicalCognition_3_27,NT,BroadlyAffectedAutism_5_210,BR,0.9725
NeurotypicalCognition_4_42,NT,BroadlyAffectedAutism_4_93,BR,0.7149
NeurotypicalCognition_4_63,NT,BroadlyAffectedAutism_4_126,BR,0.8638
NeurotypicalCognition_6_181,NT,BroadlyAffectedAutism_4_87,BR,0.947
NeurotypicalCognition_6_202,NT,BroadlyAffectedAutism_2_18,BR,0.9882
NeurotypicalCognition_6_203,NT,BroadlyAffectedAutism_5_168,BR,0.9665
NeurotypicalCognition_6_203,NT,BroadlyAffectedAutism_5_210,BR,0.951
NeurotypicalCognition_6_212,NT,BroadlyAffectedAutism_5_210,BR,0.5735
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_2_13,MX,0.661
SocialBehavioralAutism_1_3,SB,MixedASDwithDelay_1_3,MX,0.9964
SocialBehavioralAutism_1_4,SB,MixedASDwithDelay_6_124,MX,0.9962
SocialBehavioralAutism_1_4,SB,MixedASDwithDelay_8_229,MX,0.9884
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_6_98,MX,0.9944
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_2_6,MX,0.6783
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_5_68,MX,0.5507
SocialBehavioralAutism_2_7,SB,MixedASDwithDelay_4_48,MX,0.9922
SocialBehavioralAutism_2_9,SB,MixedASDwithDelay_2_12,MX,0.9962
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_2_6,MX,0.9605
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_3_25,MX,0.5504
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_5_80,MX,0.9344
