nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_1_1,NT,SocialBehavioralAutism_2_12,SB,0.997
NeurotypicalCognition_1_3,NT,SocialBehavioralAutism_3_50,SB,0.9569
NeurotypicalCognition_3_36,NT,SocialBehavioralAutism_4_70,SB,0.6193
NeurotypicalCognition_3_47,NT,SocialBehavioralAutism_0_0,SB,0.5764
NeurotypicalCognition_3_47,NT,SocialBehavioralAutism_5_237,SB,0.8175
NeurotypicalCognition_4_57,NT,SocialBehavioralAutism_5_191,SB,0.9926
NeurotypicalCognition_4_61,NT,SocialBehavioralAutism_5_237,SB,0.9415
NeurotypicalCognition_4_85,NT,SocialBehavioralAutism_0_0,SB,0.5528
NeurotypicalCognition_5_101,NT,SocialBehavioralAutism_1_4,SB,0.986
NeurotypicalCognition_5_101,NT,SocialBehavioralAutism_3_36,SB,0.954
NeurotypicalCognition_5_116,NT,SocialBehavioralAutism_3_51,SB,0.9323
NeurotypicalCognition_5_116,NT,SocialBehavioralAutism_4_75,SB,0.5505
NeurotypicalCognition_5_176,NT,SocialBehavioralAutism_2_16,SB,0.7579
NeurotypicalCognition_5_182,NT,SocialBehavioralAutism_5_237,SB,0.9934
NeurotypicalCognition_6_204,NT,SocialBehavioralAutism_3_50,SB,0.9781
NeurotypicalCognition_6_225,NT,SocialBehavioralAutism_3_27,SB,0.6268
NeurotypicalCognition_6_242,NT,SocialBehavioralAutism_5_191,SB,0.9088
NeurotypicalCognition_6_278,NT,SocialBehavioralAutism_5_189,SB,0.9177
NeurotypicalCognition_6_288,NT,SocialBehavioralAutism_3_51,SB,0.9394
NeurotypicalCognition_6_296,NT,SocialBehavioralAutism_5_164,SB,0.6332
NeurotypicalCognition_1_1,NT,MixedASDwithDelay_3_32,MX,0.997
NeurotypicalCognition_4_69,NT,MixedASDwithDelay_3_43,MX,0.9658
NeurotypicalCognition_4_85,NT,MixedASDwithDelay_0_0,MX,0.5567
NeurotypicalCognition_5_101,NT,MixedASDwithDelay_2_13,MX,0.6793
NeurotypicalCognition_5_101,NT,MixedASDwithDelay_3_33,MX,0.9092
NeurotypicalCognition_5_101,NT,MixedASDwithDelay_5_141,MX,0.9837
NeurotypicalCognition_5_101,NT,MixedASDwithDelay_6_231,MX,0.9956
NeurotypicalCognition_5_158,NT,MixedASDwithDelay_0_0,MX,0.5508
NeurotypicalCognition_5_161,NT,MixedASDwithDelay_5_154,MX,0.9318
NeurotypicalCognition_5_166,NT,MixedASDwithDelay_6_235,MX,0.5842
NeurotypicalCognition_6_199,NT,MixedASDwithDelay_6_224,MX,0.9677
NeurotypicalCognition_3_36,NT,ModerateAutism_2_18,MO,0.9036
NeurotypicalCognition_4_57,NT,ModerateAutism_5_156,MO,0.9836
NeurotypicalCognition_5_101,NT,ModerateAutism_5_132,MO,0.7153
NeurotypicalCognition_5_127,NT,ModerateAutism_5_156,MO,0.9361
NeurotypicalCognition_5_182,NT,ModerateAutism_5_156,MO,0.7682
NeurotypicalCognition_6_220,NT,ModerateAutism_5_156,MO,0.9914
NeurotypicalCognition_6_225,NT,ModerateAutism_5_156,MO,0.5822
NeurotypicalCognition_6_242,NT,ModerateAutism_5_156,MO,0.9861
NeurotypicalCognition_6_244,NT,ModerateAutism_1_3,MO,0.7342
NeurotypicalCognition_6_277,NT,ModerateAutism_4_60,MO,0.5838
NeurotypicalCognition_6_296,NT,ModerateAutism_4_62,MO,0.9124
NeurotypicalCognition_6_296,NT,ModerateAutism_5_223,MO,0.8601
NeurotypicalCognition_1_4,NT,BroadlyAffectedAutism_5_171,BR,0.9678
NeurotypicalCognition_3_35,NT,BroadlyAffectedAutism_5_171,BR,0.6887
NeurotypicalCognition_4_57,NT,BroadlyAffectedAutism_4_133,BR,0.8765
NeurotypicalCognition_4_82,NT,BroadlyAffectedAutism_4_96,BR,0.9715
NeurotypicalCognition_4_85,NT,BroadlyAffectedAutism_0_0,BR,0.5604
NeurotypicalCognition_5_101,NT,BroadlyAffectedAutism_3_29,BR,0.9578
NeurotypicalCognition_5_101,NT,BroadlyAffectedAutism_5_232,BR,0.9944
NeurotypicalCognition_5_101,NT,BroadlyAffectedAutism_5_247,BR,0.6793
NeurotypicalCognition_5_110,NT,BroadlyAffectedAutism_5_171,BR,0.6223
