nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_1_1,NT,SocialBehavioralAutism_1_1,SB,0.985
NeurotypicalCognition_1_1,NT,SocialBehavioralAutism_2_8,SB,0.975
NeurotypicalCognition_1_1,NT,SocialBehavioralAutism_5_76,SB,0.985
NeurotypicalCognition_2_19,NT,SocialBehavioralAutism_4_50,SB,0.8298
NeurotypicalCognition_3_20,NT,SocialBehavioralAutism_1_1,SB,0.9731
NeurotypicalCognition_3_25,NT,SocialBehavioralAutism_5_146,SB,0.5575
NeurotypicalCognition_3_29,NT,SocialBehavioralAutism_1_4,SB,0.9959
NeurotypicalCognition_3_44,NT,SocialBehavioralAutism_1_4,SB,0.9692
NeurotypicalCognition_3_44,NT,SocialBehavioralAutism_5_79,SB,0.5583
NeurotypicalCognition_4_77,NT,SocialBehavioralAutism_3_20,SB,0.949
NeurotypicalCognition_4_77,NT,SocialBehavioralAutism_4_69,SB,0.9773
NeurotypicalCognition_5_109,NT,SocialBehavioralAutism_5_166,SB,0.6539
NeurotypicalCognition_5_109,NT,SocialBehavioralAutism_6_223,SB,0.6414
NeurotypicalCognition_5_123,NT,SocialBehavioralAutism_1_1,SB,0.6949
NeurotypicalCognition_5_131,NT,SocialBehavioralAutism_6_223,SB,0.9852
NeurotypicalCognition_5_149,NT,SocialBehavioralAutism_6_200,SB,0.7023
NeurotypicalCognition_5_155,NT,SocialBehavioralAutism_5_116,SB,0.9288
NeurotypicalCognition_5_162,NT,SocialBehavioralAutism_5_144,SB,0.9234
NeurotypicalCognition_6_192,NT,SocialBehavioralAutism_6_223,SB,0.988
NeurotypicalCognition_6_193,NT,SocialBehavioralAutism_5_76,SB,0.9136
NeurotypicalCognition_6_200,NT,SocialBehavioralAutism_1_4,SB,0.9879
NeurotypicalCognition_6_225,NT,SocialBehavioralAutism_5_83,SB,0.9338
NeurotypicalCognition_6_225,NT,SocialBehavioralAutism_5_103,SB,0.9607
NeurotypicalCognition_6_246,NT,SocialBehavioralAutism_5_182,SB,0.6703
NeurotypicalCognition_6_250,NT,SocialBehavioralAutism_5_89,SB,0.6276
NeurotypicalCognition_6_250,NT,SocialBehavioralAutism_5_131,SB,0.5945
NeurotypicalCognition_1_1,NT,MixedASDwithDelay_4_72,MX,0.7141
NeurotypicalCognition_1_3,NT,MixedASDwithDelay_2_5,MX,0.9373
NeurotypicalCognition_2_8,NT,MixedASDwithDelay_0_0,MX,0.613
NeurotypicalCognition_2_12,NT,MixedASDwithDelay_0_0,MX,0.5829
NeurotypicalCognition_3_35,NT,MixedASDwithDelay_0_0,MX,0.7356
NeurotypicalCognition_3_43,NT,MixedASDwithDelay_5_139,MX,0.9872
NeurotypicalCognition_3_43,NT,MixedASDwithDelay_5_147,MX,0.9599
NeurotypicalCognition_4_77,NT,MixedASDwithDelay_5_158,MX,0.6033
NeurotypicalCognition_5_92,NT,MixedASDwithDelay_4_64,MX,0.959
NeurotypicalCognition_5_96,NT,MixedASDwithDelay_5_139,MX,0.8282
NeurotypicalCognition_5_109,NT,MixedASDwithDelay_5_147,MX,0.975
NeurotypicalCognition_5_123,NT,MixedASDwithDelay_4_59,MX,0.743
NeurotypicalCognition_5_134,NT,MixedASDwithDelay_5_129,MX,0.9792
NeurotypicalCognition_6_147,NT,MixedASDwithDelay_5_129,MX,0.9791
NeurotypicalCognition_6_147,NT,MixedASDwithDelay_5_139,MX,0.9644
NeurotypicalCognition_6_192,NT,MixedASDwithDelay_5_147,MX,0.6131
NeurotypicalCognition_7_207,NT,MixedASDwithDelay_6_220,MX,0.8298
NeurotypicalCognition_6_239,NT,MixedASDwithDelay_5_96,MX,0.9832
NeurotypicalCognition_6_239,NT,MixedASDwithDelay_5_153,MX,0.6307
NeurotypicalCognition_6_239,NT,MixedASDwithDelay_6_220,MX,0.9753
NeurotypicalCognition_6_242,NT,MixedASDwithDelay_1_2,MX,0.9811
NeurotypicalCognition_6_249,NT,MixedASDwithDelay_1_1,MX,0.5529
NeurotypicalCognition_1_1,NT,ModerateAutism_1_1,MO,0.9893
NeurotypicalCognition_1_3,NT,ModerateAutism_5_103,MO,0.8127
NeurotypicalCognition_1_3,NT,ModerateAutism_5_203,MO,0.99
NeurotypicalCognition_2_14,NT,ModerateAutism_5_103,MO,0.98
NeurotypicalCognition_2_19,NT,ModerateAutism_5_103,MO,0.9671
NeurotypicalCognition_3_20,NT,ModerateAutism_1_1,MO,0.9779
NeurotypicalCognition_3_21,NT,ModerateAutism_2_11,MO,0.6958
NeurotypicalCognition_3_25,NT,ModerateAutism_5_142,MO,0.6305
NeurotypicalCognition_3_43,NT,ModerateAutism_5_92,MO,0.9208
NeurotypicalCognition_3_43,NT,ModerateAutism_5_97,MO,0.9384
NeurotypicalCognition_3_43,NT,ModerateAutism_5_118,MO,0.893
NeurotypicalCognition_3_43,NT,ModerateAutism_5_132,MO,0.6017
NeurotypicalCognition_3_43,NT,ModerateAutism_5_142,MO,0.9773
NeurotypicalCognition_3_43,NT,ModerateAutism_5_203,MO,0.808
NeurotypicalCognition_4_59,NT,ModerateAutism_5_118,MO,0.6571
NeurotypicalCognition_4_77,NT,ModerateAutism_5_203,MO,0.9631
NeurotypicalCognition_5_92,NT,ModerateAutism_5_118,MO,0.9725
NeurotypicalCognition_5_97,NT,ModerateAutism_6_212,MO,0.9546
NeurotypicalCognition_5_110,NT,ModerateAutism_5_104,MO,0.9866
NeurotypicalCognition_5_123,NT,ModerateAutism_1_1,MO,0.8695
NeurotypicalCognition_5_123,NT,ModerateAutism_5_203,MO,0.5555
NeurotypicalCognition_5_131,NT,ModerateAutism_5_92,MO,0.9805
NeurotypicalCognition_5_134,NT,ModerateAutism_4_44,MO,0.77
NeurotypicalCognition_5_134,NT,ModerateAutism_5_148,MO,0.9251
NeurotypicalCognition_5_149,NT,ModerateAutism_4_44,MO,0.5727
NeurotypicalCognition_7_207,NT,ModerateAutism_5_175,MO,0.6146
NeurotypicalCognition_7_207,NT,ModerateAutism_5_203,MO,0.8244
NeurotypicalCognition_6_239,NT,ModerateAutism_5_175,MO,0.9584
NeurotypicalCognition_1_1,NT,BroadlyAffectedAutism_1_1,BR,0.9403
NeurotypicalCognition_1_1,NT,BroadlyAffectedAutism_3_46,BR,0.9773
NeurotypicalCognition_2_11,NT,BroadlyAffectedAutism_4_69,BR,0.5641
NeurotypicalCognition_2_19,NT,BroadlyAffectedAutism_3_23,BR,0.5854
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_0_0,BR,0.5789
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_3_20,BR,0.6095
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_5_111,BR,0.9663
NeurotypicalCognition_3_43,NT,BroadlyAffectedAutism_4_101,BR,0.9454
NeurotypicalCognition_3_43,NT,BroadlyAffectedAutism_5_137,BR,0.9766
NeurotypicalCognition_4_59,NT,BroadlyAffectedAutism_0_0,BR,0.7237
NeurotypicalCognition_4_72,NT,BroadlyAffectedAutism_2_13,BR,0.6579
NeurotypicalCognition_5_121,NT,BroadlyAffectedAutism_3_49,BR,0.9864
NeurotypicalCognition_5_124,NT,BroadlyAffectedAutism_5_146,BR,0.7311
NeurotypicalCognition_5_131,NT,BroadlyAffectedAutism_5_146,BR,0.9822
