nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_3_30,NT,SocialBehavioralAutism_2_6,SB,0.924
NeurotypicalCognition_3_42,NT,SocialBehavioralAutism_4_148,SB,0.9742
NeurotypicalCognition_4_150,NT,SocialBehavioralAutism_4_152,SB,0.55
NeurotypicalCognition_4_153,NT,SocialBehavioralAutism_2_6,SB,0.9496
NeurotypicalCognition_5_267,NT,SocialBehavioralAutism_3_33,SB,0.7395
NeurotypicalCognition_5_267,NT,SocialBehavioralAutism_3_52,SB,0.5587
NeurotypicalCognition_6_300,NT,SocialBehavioralAutism_3_33,SB,0.6455
NeurotypicalCognition_6_300,NT,SocialBehavioralAutism_3_52,SB,0.653
NeurotypicalCognition_6_300,NT,SocialBehavioralAutism_4_121,SB,0.9639
NeurotypicalCognition_6_306,NT,SocialBehavioralAutism_5_267,SB,0.6744
NeurotypicalCognition_5_307,NT,SocialBehavioralAutism_4_148,SB,0.8927
NeurotypicalCognition_5_308,NT,SocialBehavioralAutism_4_121,SB,0.6201
NeurotypicalCognition_3_30,NT,MixedASDwithDelay_0_0,MX,0.6255
NeurotypicalCognition_3_41,NT,MixedASDwithDelay_1_5,MX,0.9791
NeurotypicalCognition_3_49,NT,MixedASDwithDelay_0_0,MX,0.6833
NeurotypicalCognition_4_87,NT,MixedASDwithDelay_0_0,MX,0.5607
NeurotypicalCognition_4_114,NT,MixedASDwithDelay_0_0,MX,0.6803
NeurotypicalCognition_4_150,NT,MixedASDwithDelay_5_194,MX,0.6083
NeurotypicalCognition_5_178,NT,MixedASDwithDelay_0_0,MX,0.7016
NeurotypicalCognition_5_222,NT,MixedASDwithDelay_6_284,MX,0.9787
NeurotypicalCognition_6_305,NT,MixedASDwithDelay_6_284,MX,0.5957
NeurotypicalCognition_2_25,NT,ModerateAutism_6_258,MO,0.9224
NeurotypicalCognition_3_42,NT,ModerateAutism_2_11,MO,0.8024
NeurotypicalCognition_4_141,NT,ModerateAutism_5_150,MO,0.9276
NeurotypicalCognition_5_158,NT,ModerateAutism_4_97,MO,0.7037
NeurotypicalCognition_5_176,NT,ModerateAutism_1_3,MO,0.6051
NeurotypicalCognition_5_222,NT,ModerateAutism_6_258,MO,0.6944
NeurotypicalCognition_5_259,NT,ModerateAutism_3_41,MO,0.9932
NeurotypicalCognition_5_259,NT,ModerateAutism_4_98,MO,0.987
NeurotypicalCognition_5_259,NT,ModerateAutism_5_202,MO,0.9801
NeurotypicalCognition_5_262,NT,ModerateAutism_5_202,MO,0.5625
NeurotypicalCognition_6_314,NT,ModerateAutism_6_258,MO,0.6693
NeurotypicalCognition_1_3,NT,BroadlyAffectedAutism_0_0,BR,0.5517
NeurotypicalCognition_1_3,NT,BroadlyAffectedAutism_2_27,BR,0.571
NeurotypicalCognition_1_3,NT,BroadlyAffectedAutism_3_87,BR,0.6041
NeurotypicalCognition_2_9,NT,BroadlyAffectedAutism_4_110,BR,0.5809
NeurotypicalCognition_3_41,NT,BroadlyAffectedAutism_5_230,BR,0.7649
NeurotypicalCognition_3_59,NT,BroadlyAffectedAutism_3_43,BR,0.878
NeurotypicalCognition_3_59,NT,BroadlyAffectedAutism_5_222,BR,0.5811
NeurotypicalCognition_3_61,NT,BroadlyAffectedAutism_5_230,BR,0.9549
NeurotypicalCognition_4_98,NT,BroadlyAffectedAutism_5_222,BR,0.9355
NeurotypicalCognition_4_107,NT,BroadlyAffectedAutism_5_222,BR,0.9693
NeurotypicalCognition_4_114,NT,BroadlyAffectedAutism_0_0,BR,0.6417
NeurotypicalCognition_4_118,NT,BroadlyAffectedAutism_5_230,BR,0.7869
NeurotypicalCognition_4_150,NT,BroadlyAffectedAutism_3_82,BR,0.669
NeurotypicalCognition_5_164,NT,BroadlyAffectedAutism_3_43,BR,0.9929
NeurotypicalCognition_5_178,NT,BroadlyAffectedAutism_4_110,BR,0.9517
NeurotypicalCognition_5_212,NT,BroadlyAffectedAutism_5_222,BR,0.9634
NeurotypicalCognition_5_259,NT,BroadlyAffectedAutism_5_254,BR,0.9647
NeurotypicalCognition_5_267,NT,BroadlyAffectedAutism_3_31,BR,0.775
NeurotypicalCognition_5_267,NT,BroadlyAffectedAutism_3_43,BR,0.8423
NeurotypicalCognition_5_267,NT,BroadlyAffectedAutism_5_222,BR,0.8756
NeurotypicalCognition_6_300,NT,BroadlyAffectedAutism_5_222,BR,0.8734
NeurotypicalCognition_6_313,NT,BroadlyAffectedAutism_5_222,BR,0.7666
SocialBehavioralAutism_1_1,SB,MixedASDwithDelay_1_1,MX,0.8271
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_231,MX,0.9954
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_1_1,MX,0.9893
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_2_12,MX,0.9743
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_3_33,MX,0.9511
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_3_34,MX,0.9754
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_4_62,MX,0.9513
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_4_72,MX,0.993
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_4_77,MX,0.5921
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_4_104,MX,0.9339
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_133,MX,0.8248
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_159,MX,0.8955
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_160,MX,0.9105
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_170,MX,0.5595
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_179,MX,0.9719
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_182,MX,0.9908
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_203,MX,0.9669
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_205,MX,0.9906
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_216,MX,0.9593
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_5_226,MX,0.9718
SocialBehavioralAutism_1_5,SB,MixedASDwithDelay_6_314,MX,0.9411
SocialBehavioralAutism_2_9,SB,MixedASDwithDelay_5_158,MX,0.6351
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_1_1,MX,0.9916
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_2_12,MX,0.9874
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_3_32,MX,0.9808
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_3_33,MX,0.9579
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_4_72,MX,0.9834
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_4_77,MX,0.8924
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_4_113,MX,0.7689
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_5_159,MX,0.9882
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_5_182,MX,0.5718
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_5_216,MX,0.9814
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_6_232,MX,0.981
SocialBehavioralAutism_2_12,SB,MixedASDwithDelay_3_35,MX,0.683
