nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_3_41,NT,SocialBehavioralAutism_5_232,SB,0.581
NeurotypicalCognition_4_42,NT,SocialBehavioralAutism_3_22,SB,0.6154
NeurotypicalCognition_4_42,NT,SocialBehavioralAutism_5_210,SB,0.8645
NeurotypicalCognition_4_43,NT,SocialBehavioralAutism_5_210,SB,0.7069
NeurotypicalCognition_4_45,NT,SocialBehavioralAutism_3_48,SB,0.7571
NeurotypicalCognition_4_45,NT,SocialBehavioralAutism_5_210,SB,0.9879
NeurotypicalCognition_5_70,NT,SocialBehavioralAutism_5_232,SB,0.9657
NeurotypicalCognition_5_82,NT,SocialBehavioralAutism_3_22,SB,0.9853
NeurotypicalCognition_5_82,NT,SocialBehavioralAutism_5_169,SB,0.9928
NeurotypicalCognition_5_82,NT,SocialBehavioralAutism_5_210,SB,0.9886
NeurotypicalCognition_5_89,NT,SocialBehavioralAutism_4_109,SB,0.8513
NeurotypicalCognition_5_106,NT,SocialBehavioralAutism_4_85,SB,0.7331
NeurotypicalCognition_5_116,NT,SocialBehavioralAutism_4_109,SB,0.9537
NeurotypicalCognition_5_120,NT,SocialBehavioralAutism_5_145,SB,0.705
NeurotypicalCognition_6_196,NT,SocialBehavioralAutism_5_210,SB,0.992
NeurotypicalCognition_6_206,NT,SocialBehavioralAutism_5_169,SB,0.6405
NeurotypicalCognition_6_206,NT,SocialBehavioralAutism_5_210,SB,0.9933
NeurotypicalCognition_6_219,NT,SocialBehavioralAutism_3_22,SB,0.8087
NeurotypicalCognition_6_219,NT,SocialBehavioralAutism_5_210,SB,0.649
NeurotypicalCognition_7_229,NT,SocialBehavioralAutism_2_12,SB,0.9344
NeurotypicalCognition_7_237,NT,SocialBehavioralAutism_5_210,SB,0.947
NeurotypicalCognition_7_267,NT,SocialBehavioralAutism_4_148,SB,0.9519
NeurotypicalCognition_1_1,NT,MixedASDwithDelay_4_121,MX,0.9253
NeurotypicalCognition_4_50,NT,MixedASDwithDelay_5_190,MX,0.9152
NeurotypicalCognition_4_58,NT,MixedASDwithDelay_5_195,MX,0.8867
NeurotypicalCognition_5_82,NT,MixedASDwithDelay_4_121,MX,0.762
NeurotypicalCognition_5_93,NT,MixedASDwithDelay_5_183,MX,0.986
NeurotypicalCognition_6_159,NT,MixedASDwithDelay_3_51,MX,0.7545
NeurotypicalCognition_6_159,NT,MixedASDwithDelay_4_98,MX,0.776
NeurotypicalCognition_6_159,NT,MixedASDwithDelay_5_195,MX,0.8022
NeurotypicalCognition_6_169,NT,MixedASDwithDelay_5_225,MX,0.9779
NeurotypicalCognition_6_182,NT,MixedASDwithDelay_5_225,MX,0.9354
NeurotypicalCognition_6_196,NT,MixedASDwithDelay_0_0,MX,0.6442
NeurotypicalCognition_6_226,NT,MixedASDwithDelay_0_0,MX,0.6315
NeurotypicalCognition_7_241,NT,MixedASDwithDelay_5_190,MX,0.9921
NeurotypicalCognition_4_45,NT,ModerateAutism_3_31,MO,0.6142
NeurotypicalCognition_4_58,NT,ModerateAutism_3_30,MO,0.9644
NeurotypicalCognition_5_82,NT,ModerateAutism_3_25,MO,0.929
NeurotypicalCognition_5_93,NT,ModerateAutism_3_31,MO,0.9747
NeurotypicalCognition_5_106,NT,ModerateAutism_3_62,MO,0.8903
NeurotypicalCognition_6_159,NT,ModerateAutism_2_5,MO,0.696
